Date;Amount;Description;Category
2025-01-05;12500.00;Оплата по договору №12;Доход от услуг
2025-01-10;-1800.50;Аренда офиса за январь;Аренда
2025-01-15;-450.00;Интернет и мобильная связь;Связь
2025-01-20;-3200.00;Зарплата сотрудника Иванов;Зарплата
2025-02-01;-890.00;Канцелярия и расходные материалы;Офисные расходы
2025-02-10;-1200.00;Налоговый платёж УСН;Налоги
2025-02-14;5600.00;Консультационные услуги клиенту;Доход от услуг
2025-02-20;-750.00;Реклама в соцсетях;Маркетинг
2025-03-01;-125.00;Банковская комиссия;Прочее
2025-03-05;9800.00;Предоплата за проект;Доход от услуг
