Date,Amount,Description,Category
2024-01-15,-1500.00,Аренда офиса,Аренда
2024-01-20,50000.00,Оплата от клиента ООО Рога и Копыта,Продажи
2024-01-22,-3500.00,Зарплата менеджера,Зарплата
2024-01-25,-850.00,Интернет и телефония,Связь
2024-01-28,-12000.00,Закупка товара у поставщика,Закупка товаров
2024-02-01,-200.00,Канцелярские товары,Офис
2024-02-05,35000.00,Оплата услуг консультации,Услуги
2024-02-10,-5000.00,Реклама в Яндекс Директ,Реклама
2024-02-12,-1200.00,Бензин для доставки,Транспорт
2024-02-15,-450.00,Комиссия банка,Банк
